algoritmo,param_a,param_b,fecha_bloque,u_estrella
ACS,1.5000,0.7000,2027-04-08,3430.3750
ACS,1.5000,0.7000,2027-04-01,2667.5625
ACS,1.5000,0.7000,2027-04-10,2638.1250
ACS,1.5000,0.7000,2027-03-07,2594.8125
ACS,1.5000,0.7000,2027-03-10,3119.1563
ACS,1.5000,0.9000,2027-04-08,3562.3125
ACS,1.5000,0.9000,2027-04-01,3318.1875
ACS,1.5000,0.9000,2027-04-10,2826.5625
ACS,1.5000,0.9000,2027-03-07,4324.6875
ACS,1.5000,0.9000,2027-03-10,4074.0000
ACS,2.0000,0.7000,2027-04-08,3298.4375
ACS,2.0000,0.7000,2027-04-01,2472.3750
ACS,2.0000,0.7000,2027-04-10,3266.2500
ACS,2.0000,0.7000,2027-03-07,3954.0000
ACS,2.0000,0.7000,2027-03-10,4074.0000
ACS,2.0000,0.9000,2027-04-08,4222.0000
ACS,2.0000,0.9000,2027-04-01,3318.1875
ACS,2.0000,0.9000,2027-04-10,4020.0000
ACS,2.0000,0.9000,2027-03-07,4324.6875
ACS,2.0000,0.9000,2027-03-10,4264.9688
ACS,3.0000,0.7000,2027-04-08,4222.0000
ACS,3.0000,0.7000,2027-04-01,2732.6250
ACS,3.0000,0.7000,2027-04-10,3266.2500
ACS,3.0000,0.7000,2027-03-07,3954.0000
ACS,3.0000,0.7000,2027-03-10,4074.0000
ACS,3.0000,0.9000,2027-04-08,3760.2188
ACS,3.0000,0.9000,2027-04-01,4164.0000
ACS,3.0000,0.9000,2027-04-10,4020.0000
ACS,3.0000,0.9000,2027-03-07,4757.1563
ACS,3.0000,0.9000,2027-03-10,4328.6250
GRASP_VNS,0.1500,5,2027-04-08,4815.7188
GRASP_VNS,0.1500,5,2027-04-01,4684.5000
GRASP_VNS,0.1500,5,2027-04-10,4208.4375
GRASP_VNS,0.1500,5,2027-03-07,4757.1563
GRASP_VNS,0.1500,5,2027-03-10,4965.1875
GRASP_VNS,0.1500,10,2027-04-08,4749.7500
GRASP_VNS,0.1500,10,2027-04-01,4684.5000
GRASP_VNS,0.1500,10,2027-04-10,4208.4375
GRASP_VNS,0.1500,10,2027-03-07,4757.1563
GRASP_VNS,0.1500,10,2027-03-10,4837.8750
GRASP_VNS,0.3000,5,2027-04-08,5013.6250
GRASP_VNS,0.3000,5,2027-04-01,4814.6250
GRASP_VNS,0.3000,5,2027-04-10,4334.0625
GRASP_VNS,0.3000,5,2027-03-07,4757.1563
GRASP_VNS,0.3000,5,2027-03-10,5347.1250
GRASP_VNS,0.3000,10,2027-04-08,4881.6875
GRASP_VNS,0.3000,10,2027-04-01,4944.7500
GRASP_VNS,0.3000,10,2027-04-10,4020.0000
GRASP_VNS,0.3000,10,2027-03-07,4757.1563
GRASP_VNS,0.3000,10,2027-03-10,5347.1250
GRASP_VNS,0.5000,5,2027-04-08,5079.5938
GRASP_VNS,0.5000,5,2027-04-01,4944.7500
GRASP_VNS,0.5000,5,2027-04-10,4522.5000
GRASP_VNS,0.5000,5,2027-03-07,5066.0625
GRASP_VNS,0.5000,5,2027-03-10,5347.1250
GRASP_VNS,0.5000,10,2027-04-08,5277.5000
GRASP_VNS,0.5000,10,2027-04-01,5074.8750
GRASP_VNS,0.5000,10,2027-04-10,4648.1250
GRASP_VNS,0.5000,10,2027-03-07,5189.6250
GRASP_VNS,0.5000,10,2027-03-10,5474.4375
