fecha,motivo
2028-12-01,"GRASP_VNS colapsa (semilla 5, 2028-12-01T15:30)"
2028-12-03,"GRASP_VNS colapsa (semilla 5, 2028-12-03T15:30)"
2028-11-03,"GRASP_VNS colapsa (semilla 5, 2028-11-03T16:00)"
2028-10-02,"GRASP_VNS colapsa (semilla 5, 2028-10-02T15:30)"
2028-08-04,"GRASP_VNS colapsa (semilla 5, 2028-08-04T17:30)"
2028-08-01,"GRASP_VNS colapsa (semilla 5, 2028-08-01T19:00)"
2028-12-02,"GRASP_VNS colapsa (semilla 5, 2028-12-02T19:30)"
2028-11-04,"GRASP_VNS colapsa (semilla 5, 2028-11-04T17:30)"
2028-06-05,"GRASP_VNS colapsa (semilla 5, 2028-06-05T18:30)"
2028-09-04,"GRASP_VNS colapsa (semilla 5, 2028-09-04T19:00)"
2028-09-02,"GRASP_VNS colapsa (semilla 5, 2028-09-02T20:30)"
2028-10-01,"GRASP_VNS colapsa (semilla 5, 2028-10-01T21:30)"
2028-10-06,"GRASP_VNS colapsa (semilla 5, 2028-10-06T22:30)"
2028-12-04,"GRASP_VNS colapsa (semilla 5, 2028-12-04T15:00)"
2028-06-04,"GRASP_VNS colapsa (semilla 5, 2028-06-04T20:00)"
2028-11-05,"GRASP_VNS colapsa (semilla 5, 2028-11-05T20:30)"
2028-09-06,"GRASP_VNS colapsa (semilla 5, 2028-09-06T19:30)"
2028-11-01,"GRASP_VNS colapsa (semilla 5, 2028-11-01T19:30)"
2028-11-02,"GRASP_VNS colapsa (semilla 5, 2028-11-02T21:00)"
2028-06-02,"GRASP_VNS colapsa (semilla 5, 2028-06-02T22:30)"
2028-04-04,"GRASP_VNS colapsa (semilla 5, 2028-04-04T18:00)"
2028-07-04,"GRASP_VNS colapsa (semilla 5, 2028-07-04T21:00)"
2028-07-03,"GRASP_VNS colapsa (semilla 5, 2028-07-03T18:30)"
2028-05-05,"GRASP_VNS colapsa (semilla 5, 2028-05-05T22:00)"
2028-09-01,"GRASP_VNS colapsa (semilla 5, 2028-09-01T17:30)"
2028-04-01,"GRASP_VNS colapsa (semilla 5, 2028-04-02T00:30)"
2028-06-06,"GRASP_VNS colapsa (semilla 5, 2028-06-06T23:30)"
2028-09-05,"GRASP_VNS colapsa (semilla 5, 2028-09-05T23:30)"
