fecha_bloque,algoritmo,valor
2027-08-01,ACS,41.2500
2027-08-01,GRASP_VNS,48.1588
2027-12-02,ACS,41.2637
2027-12-02,GRASP_VNS,49.0493
2027-08-07,ACS,40.6848
2027-08-07,GRASP_VNS,46.3594
2027-09-05,ACS,39.8943
2027-09-05,GRASP_VNS,47.9418
2027-07-04,ACS,40.9348
2027-07-04,GRASP_VNS,48.3727
2027-06-09,ACS,37.7952
2027-06-09,GRASP_VNS,43.8234
2027-07-11,ACS,37.5100
2027-07-11,GRASP_VNS,44.7389
2027-07-03,ACS,41.3777
2027-07-03,GRASP_VNS,49.1585
2027-10-06,ACS,37.3553
2027-10-06,GRASP_VNS,45.7911
2027-11-05,ACS,34.9299
2027-11-05,GRASP_VNS,42.4253
2027-10-08,ACS,39.1115
2027-10-08,GRASP_VNS,45.7690
2027-07-10,ACS,33.9603
2027-07-10,GRASP_VNS,41.6085
2027-08-04,ACS,37.5166
2027-08-04,GRASP_VNS,46.7878
2027-06-03,ACS,34.4364
2027-06-03,GRASP_VNS,39.5524
2027-07-06,ACS,34.3825
2027-07-06,GRASP_VNS,40.7688
2027-10-02,ACS,34.9490
2027-10-02,GRASP_VNS,40.2072
2027-05-01,ACS,33.2889
2027-05-01,GRASP_VNS,40.9075
2027-09-10,ACS,29.4997
2027-09-10,GRASP_VNS,37.5207
2027-05-03,ACS,33.2386
2027-05-03,GRASP_VNS,37.5242
2027-05-05,ACS,32.7067
2027-05-05,GRASP_VNS,37.7264
