fecha,motivo
2028-12-01,"GRASP_VNS colapsa (semilla 5, 2028-12-01T14:30)"
2028-12-03,"GRASP_VNS colapsa (semilla 5, 2028-12-03T16:00)"
2028-11-03,"GRASP_VNS colapsa (semilla 5, 2028-11-03T14:30)"
2028-10-02,"GRASP_VNS colapsa (semilla 5, 2028-10-02T15:00)"
2028-08-04,"GRASP_VNS colapsa (semilla 5, 2028-08-04T16:30)"
2028-08-01,"GRASP_VNS colapsa (semilla 5, 2028-08-01T19:00)"
2028-12-02,"GRASP_VNS colapsa (semilla 5, 2028-12-02T18:30)"
2028-11-04,"GRASP_VNS colapsa (semilla 5, 2028-11-04T17:30)"
2028-06-05,"GRASP_VNS colapsa (semilla 5, 2028-06-05T16:00)"
2028-09-04,"GRASP_VNS colapsa (semilla 5, 2028-09-04T19:00)"
2028-09-02,"GRASP_VNS colapsa (semilla 5, 2028-09-02T17:30)"
2028-10-01,"GRASP_VNS colapsa (semilla 5, 2028-10-01T21:00)"
2028-10-06,"GRASP_VNS colapsa (semilla 5, 2028-10-06T21:00)"
2028-12-04,"GRASP_VNS colapsa (semilla 5, 2028-12-04T14:00)"
2028-06-04,"GRASP_VNS colapsa (semilla 5, 2028-06-04T20:00)"
2028-11-05,"GRASP_VNS colapsa (semilla 5, 2028-11-05T19:00)"
2028-09-06,"GRASP_VNS colapsa (semilla 5, 2028-09-06T18:00)"
2028-11-01,"GRASP_VNS colapsa (semilla 5, 2028-11-01T18:30)"
2028-11-02,"GRASP_VNS colapsa (semilla 5, 2028-11-02T20:30)"
2028-06-02,"GRASP_VNS colapsa (semilla 5, 2028-06-02T19:30)"
2028-04-04,"GRASP_VNS colapsa (semilla 5, 2028-04-04T17:30)"
2028-07-04,"GRASP_VNS colapsa (semilla 5, 2028-07-04T19:00)"
2028-07-03,"GRASP_VNS colapsa (semilla 5, 2028-07-03T18:00)"
2028-05-05,"GRASP_VNS colapsa (semilla 5, 2028-05-05T21:00)"
2028-09-01,"GRASP_VNS colapsa (semilla 5, 2028-09-01T17:00)"
2028-04-01,"GRASP_VNS colapsa (semilla 5, 2028-04-02T00:00)"
2028-06-06,"GRASP_VNS colapsa (semilla 5, 2028-06-06T22:30)"
2028-09-05,"GRASP_VNS colapsa (semilla 5, 2028-09-06T01:00)"
2028-07-06,"GRASP_VNS colapsa (semilla 5, 2028-07-06T21:30)"
2028-04-03,"GRASP_VNS colapsa (semilla 5, 2028-04-03T23:00)"
2028-12-05,"GRASP_VNS colapsa (semilla 5, 2028-12-05T23:30)"
2028-08-02,"GRASP_VNS colapsa (semilla 5, 2028-08-02T22:30)"
2028-10-03,"GRASP_VNS colapsa (semilla 5, 2028-10-03T21:30)"
2028-02-07,"GRASP_VNS colapsa (semilla 5, 2028-02-07T21:30)"
2028-07-01,"GRASP_VNS colapsa (semilla 5, 2028-07-01T20:00)"
2028-10-04,"GRASP_VNS colapsa (semilla 5, 2028-10-04T20:00)"
2028-06-03,"GRASP_VNS colapsa (semilla 5, 2028-06-03T22:00)"
2028-05-06,"GRASP_VNS colapsa (semilla 5, 2028-05-06T23:30)"
2028-09-03,"GRASP_VNS colapsa (semilla 5, 2028-09-04T00:00)"
2028-02-03,"GRASP_VNS colapsa (semilla 5, 2028-02-04T01:00)"
2028-07-05,"GRASP_VNS colapsa (semilla 5, 2028-07-06T00:00)"
2028-10-05,"GRASP_VNS colapsa (semilla 5, 2028-10-05T22:00)"
2028-05-07,"GRASP_VNS colapsa (semilla 5, 2028-05-07T20:30)"
2028-08-03,"GRASP_VNS colapsa (semilla 5, 2028-08-04T03:00)"
2028-05-01,"GRASP_VNS colapsa (semilla 5, 2028-05-01T22:30)"
2028-08-05,"GRASP_VNS colapsa (semilla 5, 2028-08-05T23:00)"
2028-02-02,"GRASP_VNS colapsa (semilla 5, 2028-02-03T04:00)"
2028-05-03,"GRASP_VNS colapsa (semilla 5, 2028-05-04T03:30)"
2028-05-02,"GRASP_VNS colapsa (semilla 5, 2028-05-03T04:00)"
2028-08-06,"GRASP_VNS colapsa (semilla 5, 2028-08-06T23:30)"
2028-06-01,"GRASP_VNS colapsa (semilla 5, 2028-06-02T02:30)"
2028-04-06,"GRASP_VNS colapsa (semilla 5, 2028-04-07T03:30)"
2028-07-02,"GRASP_VNS colapsa (semilla 5, 2028-07-03T01:00)"
2028-05-04,"GRASP_VNS colapsa (semilla 5, 2028-05-05T07:00)"
2027-12-07,"GRASP_VNS colapsa (semilla 5, 2027-12-08T06:00)"
2028-03-04,"GRASP_VNS colapsa (semilla 5, 2028-03-05T01:00)"
2028-03-01,"GRASP_VNS colapsa (semilla 5, 2028-03-02T03:00)"
2027-11-06,"GRASP_VNS colapsa (semilla 5, 2027-11-07T03:00)"
2028-01-01,"GRASP_VNS colapsa (semilla 5, 2028-01-02T06:30)"
2027-12-05,"GRASP_VNS colapsa (semilla 4, 2027-12-06T04:30)"
2028-03-03,"GRASP_VNS colapsa (semilla 5, 2028-03-04T02:30)"
2027-11-08,"GRASP_VNS colapsa (semilla 5, 2027-11-09T00:00)"
2028-04-02,"GRASP_VNS colapsa (semilla 5, 2028-04-03T07:30)"
2028-02-08,"GRASP_VNS colapsa (semilla 5, 2028-02-09T05:00)"
2028-01-02,"GRASP_VNS colapsa (semilla 5, 2028-01-03T01:00)"
2028-02-06,"GRASP_VNS colapsa (semilla 5, 2028-02-07T02:00)"
2028-02-05,"GRASP_VNS colapsa (semilla 5, 2028-02-06T05:30)"
2027-12-06,"ACS colapsa (semilla 5, 2027-12-06T18:30)"
2028-01-08,"GRASP_VNS colapsa (semilla 4, 2028-01-09T08:00)"
2027-11-07,"GRASP_VNS colapsa (semilla 4, 2027-11-08T07:00)"
2027-10-03,"ACS colapsa (semilla 5, 2027-10-03T22:00)"
2028-01-07,"GRASP_VNS colapsa (semilla 4, 2028-01-08T05:30)"
2027-10-09,"ACS colapsa (semilla 5, 2027-10-09T20:30)"
2028-04-05,"GRASP_VNS colapsa (semilla 4, 2028-04-06T03:30)"
2028-01-04,"ACS colapsa (semilla 5, 2028-01-04T22:00)"
2027-10-07,"GRASP_VNS colapsa (semilla 4, 2027-10-08T03:30)"
2028-04-07,"GRASP_VNS colapsa (semilla 5, 2028-04-08T02:30)"
2028-03-06,"ACS colapsa (semilla 4, 2028-03-07T01:00)"
2028-03-02,"ACS colapsa (semilla 5, 2028-03-03T01:30)"
2027-12-01,"ACS colapsa (semilla 5, 2027-12-01T16:30)"
2028-03-05,"ACS colapsa (semilla 5, 2028-03-05T16:30)"
2028-03-07,"ACS colapsa (semilla 5, 2028-03-07T08:00)"
2027-10-10,"GRASP_VNS colapsa (semilla 4, 2027-10-11T05:00)"
2028-01-05,"ACS colapsa (semilla 5, 2028-01-05T22:30)"
2027-11-03,"ACS colapsa (semilla 5, 2027-11-03T23:30)"
2028-03-08,"ACS colapsa (semilla 5, 2028-03-08T08:00)"
2027-09-03,"ACS colapsa (semilla 4, 2027-09-03T22:30)"
2027-09-06,"ACS colapsa (semilla 4, 2027-09-06T18:00)"
2027-11-09,"ACS colapsa (semilla 3, 2027-11-10T04:00)"
2028-01-06,"ACS colapsa (semilla 3, 2028-01-07T00:30)"
2028-02-01,"ACS colapsa (semilla 5, 2028-02-01T19:30)"
2027-08-03,"ACS colapsa (semilla 4, 2027-08-03T08:30)"
2028-02-04,"ACS colapsa (semilla 5, 2028-02-04T08:30)"
2027-08-05,"ACS colapsa (semilla 5, 2027-08-05T19:00)"
2028-01-03,"ACS colapsa (semilla 4, 2028-01-03T22:00)"
2028-07-07,"ACS colapsa (semilla 4, 2028-07-08T01:30)"
2027-09-07,"ACS colapsa (semilla 5, 2027-09-07T12:30)"
2027-12-09,"ACS colapsa (semilla 4, 2027-12-10T02:30)"
2027-11-04,"ACS colapsa (semilla 5, 2027-11-05T01:00)"
2027-11-02,"ACS colapsa (semilla 5, 2027-11-02T12:30)"
2027-12-02,"ACS colapsa (semilla 3, 2027-12-03T01:30)"
2027-12-04,"ACS colapsa (semilla 3, 2027-12-04T19:00)"
2027-10-05,"ACS colapsa (semilla 1, 2027-10-05T19:30)"
2027-12-03,"ACS colapsa (semilla 4, 2027-12-03T09:00)"
2028-11-06,"ACS colapsa (semilla 4, 2028-11-06T23:30)"
2027-09-05,"ACS colapsa (semilla 5, 2027-09-05T09:00)"
2027-07-04,"ACS colapsa (semilla 2, 2027-07-04T20:00)"
2027-09-04,"ACS colapsa (semilla 5, 2027-09-04T08:30)"
2027-12-08,"ACS colapsa (semilla 1, 2027-12-09T01:30)"
2027-07-08,"ACS colapsa (semilla 1, 2027-07-08T14:30)"
2027-07-11,"ACS colapsa (semilla 1, 2027-07-12T02:00)"
2027-07-03,"ACS colapsa (semilla 1, 2027-07-04T02:00)"
2027-06-11,"ACS colapsa (semilla 2, 2027-06-12T00:00)"
2027-07-02,"ACS colapsa (semilla 4, 2027-07-03T03:00)"
2027-08-02,"ACS colapsa (semilla 5, 2027-08-02T11:00)"
2027-08-10,"ACS colapsa (semilla 5, 2027-08-10T15:00)"
2027-10-04,"ACS colapsa (semilla 1, 2027-10-05T03:00)"
2027-06-04,"ACS colapsa (semilla 3, 2027-06-04T08:00)"
2027-10-01,"ACS colapsa (semilla 5, 2027-10-01T12:30)"
2027-09-08,"ACS colapsa (semilla 5, 2027-09-08T07:30)"
2027-09-09,"ACS colapsa (semilla 5, 2027-09-09T13:30)"
2027-05-08,"ACS colapsa (semilla 4, 2027-05-08T11:00)"
2027-09-10,"ACS colapsa (semilla 1, 2027-09-10T15:00)"
