fecha_bloque,algoritmo,valor
2027-08-01,ACS,40.7635
2027-08-01,GRASP_VNS,51.1712
2027-08-07,ACS,39.9757
2027-08-07,GRASP_VNS,50.7675
2027-06-09,ACS,37.0121
2027-06-09,GRASP_VNS,47.6312
2027-10-06,ACS,36.6495
2027-10-06,GRASP_VNS,48.8541
2027-11-05,ACS,35.5580
2027-11-05,GRASP_VNS,44.7686
2027-10-08,ACS,39.7835
2027-10-08,GRASP_VNS,49.6104
2027-08-06,ACS,38.9612
2027-08-06,GRASP_VNS,51.9252
2027-06-02,ACS,38.2484
2027-06-02,GRASP_VNS,45.3872
2027-11-01,ACS,36.8867
2027-11-01,GRASP_VNS,46.0723
2027-07-01,ACS,35.7684
2027-07-01,GRASP_VNS,47.8866
2027-07-10,ACS,33.8801
2027-07-10,GRASP_VNS,43.0394
2027-08-04,ACS,35.7617
2027-08-04,GRASP_VNS,49.2829
2027-06-03,ACS,34.5852
2027-06-03,GRASP_VNS,42.7272
2027-09-02,ACS,35.4658
2027-09-02,GRASP_VNS,45.5233
2027-07-06,ACS,34.8705
2027-07-06,GRASP_VNS,44.0083
2027-10-02,ACS,34.7642
2027-10-02,GRASP_VNS,41.7355
2027-05-01,ACS,34.3881
2027-05-01,GRASP_VNS,43.7280
2027-05-03,ACS,32.5167
2027-05-03,GRASP_VNS,40.9999
2027-05-05,ACS,33.5196
2027-05-05,GRASP_VNS,40.7249
2027-09-01,ACS,30.9204
2027-09-01,GRASP_VNS,38.0526
