experimento,fecha_bloque,algoritmo,semilla,lambda,colapso,metrica_sla,costo_por_pedido,unidades_bloque
1,2028-12-01,ACS,1,1.0000,true,,,6061
1,2028-12-01,ACS,2,1.0000,true,,,6061
1,2028-12-01,ACS,3,1.0000,true,,,6061
1,2028-12-01,ACS,4,1.0000,true,,,6061
1,2028-12-01,ACS,5,1.0000,true,,,6061
1,2028-12-01,GRASP_VNS,1,1.0000,true,,,6061
1,2028-12-01,GRASP_VNS,2,1.0000,true,,,6061
1,2028-12-01,GRASP_VNS,3,1.0000,true,,,6061
1,2028-12-01,GRASP_VNS,4,1.0000,true,,,6061
1,2028-12-01,GRASP_VNS,5,1.0000,true,,,6061
1,2028-12-03,ACS,1,1.0000,true,,,5772
1,2028-12-03,ACS,2,1.0000,true,,,5772
1,2028-12-03,ACS,3,1.0000,true,,,5772
1,2028-12-03,ACS,4,1.0000,true,,,5772
1,2028-12-03,ACS,5,1.0000,true,,,5772
1,2028-12-03,GRASP_VNS,1,1.0000,true,,,5772
1,2028-12-03,GRASP_VNS,2,1.0000,true,,,5772
1,2028-12-03,GRASP_VNS,3,1.0000,true,,,5772
1,2028-12-03,GRASP_VNS,4,1.0000,true,,,5772
1,2028-12-03,GRASP_VNS,5,1.0000,true,,,5772
1,2028-11-03,ACS,1,1.0000,true,,,5708
1,2028-11-03,ACS,2,1.0000,true,,,5708
1,2028-11-03,ACS,3,1.0000,true,,,5708
1,2028-11-03,ACS,4,1.0000,true,,,5708
1,2028-11-03,ACS,5,1.0000,true,,,5708
1,2028-11-03,GRASP_VNS,1,1.0000,true,,,5708
1,2028-11-03,GRASP_VNS,2,1.0000,true,,,5708
1,2028-11-03,GRASP_VNS,3,1.0000,true,,,5708
1,2028-11-03,GRASP_VNS,4,1.0000,true,,,5708
1,2028-11-03,GRASP_VNS,5,1.0000,true,,,5708
1,2028-10-02,ACS,1,1.0000,true,,,5661
1,2028-10-02,ACS,2,1.0000,true,,,5661
1,2028-10-02,ACS,3,1.0000,true,,,5661
1,2028-10-02,ACS,4,1.0000,true,,,5661
1,2028-10-02,ACS,5,1.0000,true,,,5661
1,2028-10-02,GRASP_VNS,1,1.0000,true,,,5661
1,2028-10-02,GRASP_VNS,2,1.0000,true,,,5661
1,2028-10-02,GRASP_VNS,3,1.0000,true,,,5661
1,2028-10-02,GRASP_VNS,4,1.0000,true,,,5661
1,2028-10-02,GRASP_VNS,5,1.0000,true,,,5661
1,2028-08-04,ACS,1,1.0000,true,,,5077
1,2028-08-04,ACS,2,1.0000,true,,,5077
1,2028-08-04,ACS,3,1.0000,true,,,5077
1,2028-08-04,ACS,4,1.0000,true,,,5077
1,2028-08-04,ACS,5,1.0000,true,,,5077
1,2028-08-04,GRASP_VNS,1,1.0000,true,,,5077
1,2028-08-04,GRASP_VNS,2,1.0000,true,,,5077
1,2028-08-04,GRASP_VNS,3,1.0000,true,,,5077
1,2028-08-04,GRASP_VNS,4,1.0000,true,,,5077
1,2028-08-04,GRASP_VNS,5,1.0000,true,,,5077
1,2028-08-01,ACS,1,1.0000,true,,,5039
1,2028-08-01,ACS,2,1.0000,true,,,5039
1,2028-08-01,ACS,3,1.0000,true,,,5039
1,2028-08-01,ACS,4,1.0000,true,,,5039
1,2028-08-01,ACS,5,1.0000,true,,,5039
1,2028-08-01,GRASP_VNS,1,1.0000,true,,,5039
